slug,name,brand,category_slug,description,price,original_price,rating,review_count,image,badge,stock,is_flash,flash_reserved_pct
cereales-tresor-krave-600g,Céréales Trésor Krave 600g,CÉRÉALES,epicerie,"Céréales Trésor Krave 600g. Une sélection MART+, l'épicerie fine de terroir.",1999,2220,4.7,228,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233521-EH9wdXrq.png,PROMO,50,0,0
cereales-kellogg-s-corn-flakes-500g,Céréales Kelloggs Corn Flakes 500g,CÉRÉALES,epicerie,"Céréales Kelloggs Corn Flakes 500g. Une sélection MART+, l'épicerie fine de terroir.",2100,,4.6,155,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233532-SEKfWTHF.png,,50,0,0
cereales-lion-400g,Céréales Lion 400g,LION,chocolats,"Céréales Lion 400g. Une sélection MART+, l'épicerie fine de terroir.",1650,1750,4.8,318,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233543-kgiiegri.png,PROMO,48,1,55
cereales-chocapic-375g,Céréales Chocapic 375g,CHOCAPIC,epicerie,"Céréales Chocapic 375g. Une sélection MART+, l'épicerie fine de terroir.",1599,1740,4.9,392,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233553-WGkeI6Dc.png,PROMO,49,1,87
cajoline-soin-complet-45-lavage,Cajoline Soin Complet 45 LAVAGE,CAJOLINE,maison,"Cajoline Soin Complet 45 LAVAGE. Une sélection MART+, l'épicerie fine de terroir.",2100,2150,4.5,123,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250604180134-kiuofrLS.png,PROMO,0,0,0
the-pink-toilet-cleaner,The Pink - Toilet Cleaner,THE,maison,"The Pink - Toilet Cleaner. Une sélection MART+, l'épicerie fine de terroir.",1750,,4.5,64,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250604175156-bTtivNHu.png,,49,0,0
finish-ultimate-t42,FINISH ULTIMATE T42,FINISH,maison,"FINISH ULTIMATE T42. Une sélection MART+, l'épicerie fine de terroir.",3250,3300,4.9,427,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234040-NCt7Cic5.png,PROMO,0,0,0
pliz-300ml-multisurface,PLIZ 300ML MULTISURFACE,PLIZ,maison,"PLIZ 300ML MULTISURFACE. Une sélection MART+, l'épicerie fine de terroir.",650,,4.7,264,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234119-YI2SsoNi.png,,0,0,0
finish-liquide-80-lavage,Finish Liquide 80 Lavage,FINISH,maison,"Finish Liquide 80 Lavage. Une sélection MART+, l'épicerie fine de terroir.",950,1100,4.5,71,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234138-SBChG5qf.png,PROMO,1,0,0
skip-active-clean-a-diluer,Skip Active Clean à diluer,SKIP,maison,"Skip Active Clean à diluer. Une sélection MART+, l'épicerie fine de terroir.",1400,1500,4.5,118,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250604173900-iIrlv9hh.png,PROMO,1,0,0
beurre-primvere-250g,Beurre PRIMVERE 250G,PRIMVÈRE,fromages,"Beurre PRIMVERE 250G. Une sélection MART+, l'épicerie fine de terroir.",1040,1150,4.8,370,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234534-utqaueeB.png,PROMO,60,1,88
beurre-president-250g,Beurre PRESIDENT 250G,PRÉSIDENT,fromages,"Beurre PRESIDENT 250G. Une sélection MART+, l'épicerie fine de terroir.",1064,1140,4.4,47,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234639-YtuT9Ck2.png,PROMO,50,0,0
beurre-st-hubert-250g,Beurre ST HUBERT 250G,ST HUBERT,fromages,"Beurre ST HUBERT 250G. Une sélection MART+, l'épicerie fine de terroir.",952,1020,4.4,20,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234724-90MiDQ0m.png,PROMO,50,0,0
roquefort-societe-150g,ROQUEFORT SOCIETE 150G,ROQUEFORT,fromages,"ROQUEFORT SOCIETE 150G. Une sélection MART+, l'épicerie fine de terroir.",1200,,4.7,284,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234937-Tz4fMvIt.png,,0,0,0
philadelphia-350ml,Philadelphia XL,PHILADELPHIA,fromages,Philadelphia XL - format 350ML.,1550,,4.4,37,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234950-VfHF91lU.png,,50,0,0
leerdammer-tranche-t16,LEERDAMMER TRANCHE T16,LEERDAMMER,fromages,"LEERDAMMER TRANCHE T16. Une sélection MART+, l'épicerie fine de terroir.",1512,1620,4.8,367,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602235001-ZIajvGwl.png,PROMO,50,0,0
leerdamer-500g,LEERDAMER 500G,LEERDAMER,fromages,"LEERDAMER 500G. Une sélection MART+, l'épicerie fine de terroir.",1900,,4.9,386,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602235013-rr4ed6cr.png,BESTSELLER,50,0,0
babybel-t5,BABYBEL T5,BABYBEL,fromages,"BABYBEL T5. Une sélection MART+, l'épicerie fine de terroir.",850,900,4.6,138,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602235024-bS0XgPp1.png,PROMO,50,0,0
grana-padano-parmesan,GRANA PADANO - Parmesan,GRANA PADANO,fromages,"GRANA PADANO - Parmesan. Une sélection MART+, l'épicerie fine de terroir.",1300,1450,4.8,363,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602235037-sBwZf6rW.png,PROMO,1,0,0
ficello-t4,FICELLO T4,FICELLO,fromages,"FICELLO T4. Une sélection MART+, l'épicerie fine de terroir.",1050,1100,4.4,23,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602235047-RajizXRQ.png,PROMO,50,0,0
lait-damande-bjork,Lait d'amande Bjork,BJORK,fromages,"Lait d'amande Bjork. Une sélection MART+, l'épicerie fine de terroir.",1400,1500,4.5,77,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602235104-K3IjtKuk.png,PROMO,2,0,0
nestle-petit-brasse-t4,Nestlè Petit Brasse T4,NESTLÉ,fromages,"Nestlè Petit Brasse T4. Une sélection MART+, l'épicerie fine de terroir.",1050,1200,4.8,368,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602234751-r4piVtVm.png,PROMO,40,0,0
nestle-petite-recette-400g,Nestlè Petite Recette 400G,NESTLÉ,fromages,"Nestlè Petite Recette 400G. Une sélection MART+, l'épicerie fine de terroir.",1050,1200,4.8,356,,PROMO,5,0,0
nutella-b-ready-1-portion,Nutella B-Ready - 1 Portion,NUTELLA,chocolats,"Nutella B-Ready - 1 Portion. Une sélection MART+, l'épicerie fine de terroir.",180,,4.8,346,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235305-fhBtT3Ir.png,,50,0,0
nutella-b-ready-pack-de-15,Nutella B-Ready (pack de 15),NUTELLA,chocolats,"Nutella B-Ready (pack de 15). Une sélection MART+, l'épicerie fine de terroir.",1900,,4.5,82,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235001-8407fMkY.png,,45,0,0
lu-petit-coeur,LU Petit Coeur,LU,epicerie,"LU Petit Coeur. Une sélection MART+, l'épicerie fine de terroir.",1200,,4.5,134,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250803154858-fYENoks1.png,,0,0,0
lu-chamonix-orange,LU Chamonix - Orange,LU,epicerie,"LU Chamonix - Orange. Une sélection MART+, l'épicerie fine de terroir.",1200,,4.6,179,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235333-x3MRu0JQ.png,,0,0,0
nutella-biscuit-sachet,Nutella Biscuit Sachet,NUTELLA,chocolats,"Nutella Biscuit Sachet. Une sélection MART+, l'épicerie fine de terroir.",1380,,4.6,171,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235350-g4K4Ck7e.png,,50,0,0
nutella-biscuit-tube,Nutella Biscuit Tube,NUTELLA,chocolats,"Nutella Biscuit Tube. Une sélection MART+, l'épicerie fine de terroir.",999,1250,4.5,59,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235406-XRE7Yia0.png,PROMO,0,0,0
granola-cookies-184g,Granola Cookies 184g,GRANOLA,epicerie,"Granola Cookies 184g. Une sélection MART+, l'épicerie fine de terroir.",1050,,4.7,279,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235420-tlXh6GKZ.png,,49,0,0
lu-pims-fraise,LU Pims Fraise,LU,epicerie,"LU Pims Fraise. Une sélection MART+, l'épicerie fine de terroir.",1100,,4.7,255,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235557-edCDdzLT.png,,0,0,0
lu-pims-framboise,LU Pims Framboise,LU,epicerie,"LU Pims Framboise. Une sélection MART+, l'épicerie fine de terroir.",1100,,4.6,170,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235828-Fxlx3xNy.png,,0,0,0
lu-pims-orange,LU Pims Orange,LU,epicerie,"LU Pims Orange. Une sélection MART+, l'épicerie fine de terroir.",999,1100,4.5,100,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250601235852-ahcwPgvr.png,PROMO,0,0,0
prince-de-lu,Prince de LU,LU,chocolats,"Prince de LU. Une sélection MART+, l'épicerie fine de terroir.",750,800,4.4,48,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602000217-mrhn0eph.png,PROMO,3,0,0
mikado,Mikado,MIKADO,chocolats,"Mikado. Une sélection MART+, l'épicerie fine de terroir.",700,850,4.6,210,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602000233-WLPOga2y.png,PROMO,0,0,0
lu-petit-ecolier-chocolat-au-lait-120g,LU Petit Ecolier - Chocolat au lait 120g,LU,chocolats,LU Petit Ecolier - Chocolat au lait 120g - format 120g.,1200,,4.4,39,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250831123906-Ul9AAtX9.png,,0,0,0
bn-delice-185g-choco-icecream,BN Délice 185g Choco IceCream,BN,chocolats,"BN Délice 185g Choco IceCream. Une sélection MART+, l'épicerie fine de terroir.",1000,1050,4.6,187,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602000531-hJlsqxAe.png,PROMO,0,0,0
bn-delice-185g-vanila-icecream,BN Délice 185g Vanila IceCream,BN,epicerie,"BN Délice 185g Vanila IceCream. Une sélection MART+, l'épicerie fine de terroir.",1000,1050,4.7,278,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602000649-cWPi7GVt.png,PROMO,2,0,0
milka-choco-supreme,Milka Choco Supreme,MILKA,chocolats,"Milka Choco Supreme. Une sélection MART+, l'épicerie fine de terroir.",1200,,4.6,145,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602000902-HdUdhNav.png,,0,0,0
oreo-milk-enrobed-t6-246g,Oreo Milk Enrobed T6 246g,OREO,chocolats,"Oreo Milk Enrobed T6 246g. Une sélection MART+, l'épicerie fine de terroir.",1000,1200,4.7,269,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602001012-b8Kjve3q.png,PROMO,0,0,0
st-michel-galette-format-familial-360g,St Michel Galette Format Familial 360g,ST MICHEL,epicerie,"St Michel Galette Format Familial 360g. Une sélection MART+, l'épicerie fine de terroir.",1850,2500,4.5,129,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250603154355-re6Z1xPb.png,PROMO,0,0,0
savane-pocket-chocolat-noir-210g,SAVANE Pocket - Chocolat Noir 210G,SAVANE,chocolats,"SAVANE Pocket - Chocolat Noir 210G. Une sélection MART+, l'épicerie fine de terroir.",950,1020,4.5,131,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602001038-QHEH6DmT.png,PROMO,0,0,0
mini-bn-chocolat-au-lait,Mini BN Chocolat Au Lait,BN,chocolats,Mini BN Chocolat Au Lait - format T25.,880,950,4.6,195,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250615162123-d7vkJ3vW.png,PROMO,0,0,0
bonne-maman-tartelettes-citron135g,BONNE MAMAN TARTELETTES - Citron135G,BONNE MAMAN,epicerie,"BONNE MAMAN TARTELETTES - Citron135G. Une sélection MART+, l'épicerie fine de terroir.",750,780,4.5,120,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602001349-TLWpsnl9.png,PROMO,3,0,0
bonne-maman-tartelettes-framboise-135g,BONNE MAMAN TARTELETTES - Framboise 135G,BONNE MAMAN,epicerie,"BONNE MAMAN TARTELETTES - Framboise 135G. Une sélection MART+, l'épicerie fine de terroir.",750,780,4.9,432,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602001558-djyCZ0P7.png,PROMO,3,0,0
bn-delice-cookie-dough,BN DELICE Cookie Dough,BN,epicerie,"BN DELICE Cookie Dough. Une sélection MART+, l'épicerie fine de terroir.",1050,,4.9,420,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250615191651-IAHP0k2M.png,BESTSELLER,2,0,0
lu-pepito,LU PEPITO,LU,chocolats,"LU PEPITO. Une sélection MART+, l'épicerie fine de terroir.",950,,4.7,288,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602001623-rfMnbQK5.png,,0,0,0
ricamar-triplette-de-thon-a-lhuile,Ricamar Triplette De Thon à L'huile,RICAMAR,epicerie,"Ricamar Triplette De Thon à L'huile. Une sélection MART+, l'épicerie fine de terroir.",350,,4.8,321,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232328-l1XTAm4f.png,,49,0,0
ricamar-triplette-de-thon-a-la-tomate,Ricamar Triplette De Thon à La Tomate,RICAMAR,epicerie,"Ricamar Triplette De Thon à La Tomate. Une sélection MART+, l'épicerie fine de terroir.",350,,4.8,353,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232350-fQTS2uFA.png,,49,0,0
ricamar-thon-nature-160g,Ricamar Thon Nature 160G,RICAMAR,epicerie,"Ricamar Thon Nature 160G. Une sélection MART+, l'épicerie fine de terroir.",280,,4.5,120,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232402-atjAw1RN.png,,50,0,0
ricamar-thon-a-lhuile-160g,Ricamar Thon à L'huile 160G,RICAMAR,epicerie,"Ricamar Thon à L'huile 160G. Une sélection MART+, l'épicerie fine de terroir.",280,,4.7,224,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232426-u9Sh1lNf.png,,49,0,0
ricamar-thon-a-la-tomate-160g,Ricamar Thon à La Tomate 160G,RICAMAR,epicerie,"Ricamar Thon à La Tomate 160G. Une sélection MART+, l'épicerie fine de terroir.",280,,4.4,32,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232545-FPpF9Wd4.png,,50,0,0
ricamar-thon-a-lhuile-1kg,Ricamar Thon à L'huile 1kg,RICAMAR,epicerie,"Ricamar Thon à L'huile 1kg. Une sélection MART+, l'épicerie fine de terroir.",1450,,4.6,214,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232507-d1KBmcOx.png,,2,0,0
ricamar-sardine-a-la-tomate,Ricamar Sardine à la tomate,RICAMAR,epicerie,"Ricamar Sardine à la tomate. Une sélection MART+, l'épicerie fine de terroir.",160,,4.7,267,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232617-eFTEI3mL.png,,50,0,0
ebly-l-original-500g,EBLY LORIGINAL 500G,EBLY,epicerie,"EBLY LORIGINAL 500G. Une sélection MART+, l'épicerie fine de terroir.",1200,1320,4.6,148,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602232814-IIbGUzfg.png,PROMO,0,0,0
barilla-macaroni-risoni-n26,Barilla Macaroni Risoni N26,BARILLA,epicerie,"Barilla Macaroni Risoni N26. Une sélection MART+, l'épicerie fine de terroir.",1140,,4.4,49,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602233044-qFhgyEbc.png,,1,0,0
sauce-panzani-pesto,SAUCE PANZANI PESTO,PANZANI,epicerie,"SAUCE PANZANI PESTO. Une sélection MART+, l'épicerie fine de terroir.",1100,,4.6,204,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602231456-HqARH1md.png,,0,0,0
amora-deluxe,Amora Deluxe,LU,epicerie,"Amora Deluxe. Une sélection MART+, l'épicerie fine de terroir.",850,,4.7,281,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250604215639-MjAbmTRy.png,,14,0,0
tabasco-60ml,TABASCO 60ML,TABASCO,epicerie,"TABASCO 60ML. Une sélection MART+, l'épicerie fine de terroir.",840,,4.7,229,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602231527-LgfhmJzS.png,,0,0,0
dovido-raisins-sans-pepins,Dovido - Raisins Sans Pepins,DOVIDO,epicerie,Dovido - Raisins Sans Pepins - format 200g.,1200,,4.6,166,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250614165225-LGyxq762.png,,2,0,0
carambar-cara-pop,Carambar Cara-Pop,CARAMBAR,bonbons,Carambar Cara-Pop - format 400g.,1400,1500,4.6,177,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250614170923-cRrk04Ej.png,PROMO,0,0,0
lutti-arlequin-300g,Lutti Arlequin,LU,bonbons,Lutti Arlequin - format 300g.,1500,,4.5,61,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602134509-XkJZpKHP.png,,50,0,0
sky-candy-original-mint-candies-130gr-v,Sky Candy Original Mint Candies 130Gr v,SKY CANDY,bonbons,"Sky Candy Original Mint Candies 130Gr v. Une sélection MART+, l'épicerie fine de terroir.",660,,4.4,25,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602135229-cCUN6z1P.png,,50,0,0
mentos-gum-pure-fresh-t5,Mentos -GUM Pure Fresh T5,MENTOS,bonbons,"Mentos -GUM Pure Fresh T5. Une sélection MART+, l'épicerie fine de terroir.",720,,4.5,60,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250614164506-RsxhtxuA.png,,2,0,0
freedent-white-bubble-menthe,Freedent White Bubble Menthe,FREEDENT,bonbons,"Freedent White Bubble Menthe. Une sélection MART+, l'épicerie fine de terroir.",180,,4.9,447,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250614172743-Ng4vDT69.png,BESTSELLER,59,0,0
mentos-29g,Mentos 29G,MENTOS,bonbons,"Mentos 29G. Une sélection MART+, l'épicerie fine de terroir.",170,,4.7,263,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602135333-QWall2FK.png,,0,0,0
mentos-t8,MENTOS T8,MENTOS,bonbons,"MENTOS T8. Une sélection MART+, l'épicerie fine de terroir.",1300,,4.9,450,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602135401-2aK8gnx7.png,BESTSELLER,0,0,0
alpenlibe,Alpenlibe,ALPENLIBE,bonbons,"Alpenlibe. Une sélection MART+, l'épicerie fine de terroir.",220,240,4.5,135,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602135503-6ulrngzv.png,PROMO,3,0,0
ricola-citron-melisse,Ricola Citron Mélisse,RICOLA,bonbons,Ricola Citron Mélisse - format 50G.,600,,4.5,114,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250614170338-C7AUr7K9.png,,50,0,0
mentos-gum-sans-sucre-peppermint,Mentos-Gum Sans-Sucre Peppermint,MENTOS,bonbons,Mentos-Gum Sans-Sucre Peppermint - format 56G.,600,,4.8,349,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250614162908-huOAFRLm.png,,2,0,0
fini-melon-90g,FINI Melon 90G,FINI,bonbons,"FINI Melon 90G. Une sélection MART+, l'épicerie fine de terroir.",299,,4.6,156,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602140705-ynGoXO5Y.png,,73,0,0
werthers-original-blissful-bites,Werthers Original Blissful Bites,WERTHERS,bonbons,Werthers Original Blissful Bites - format 140G.,1150,1200,4.6,163,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250619145634-oqiYeg2S.png,PROMO,50,0,0
werthers-original-sachet,Werthers Original Sachet,WERTHERS,bonbons,"Werthers Original Sachet. Une sélection MART+, l'épicerie fine de terroir.",750,780,4.8,301,https://fast-console.s3.eu-west-3.amazonaws.com/PARTNER/PRODUCTS/20250602140610-7Z2torjd.png,PROMO,0,0,0
